Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Market_Price,Cost_of_Cultivation,Revenue,Profit,ROI,Crop_encoded,State_encoded,Season_encoded
Cotton(lint),2010,Kharif     ,Assam,1398.0,650,2578.5,232221.78,335.52,0.528333333,52000.0,82200.0,27473.333315999997,-54726.666684,-66.57745338686132,4,2,1
Arecanut,2010,Whole Year ,Andhra Pradesh,438.0,195,1297.0,72756.18,105.12,0.443333333,250000.0,244365.0,110833.33325,-133531.66675,-54.644350357047855,0,0,4
Arhar/Tur,2010,Kharif     ,Andhra Pradesh,629980.0,261286,1297.0,104645977.8,151195.2,0.466363636,6200.0,71370.0,2891.4545432,-68478.5454568,-95.94864152557096,1,0,1
Arhar/Tur,2010,Rabi       ,Andhra Pradesh,8123.0,4101,1297.0,1349311.53,1949.52,0.483333333,6200.0,71370.0,2996.6666646,-68373.3333354,-95.80122367297184,1,0,2
Castor seed,2010,Kharif     ,Andhra Pradesh,187721.0,121143,1297.0,31182335.31,45053.04,0.526875,5300.0,40000.0,2792.4375,-37207.5625,-93.01890625,2,0,1
Coconut ,2010,Whole Year ,Andhra Pradesh,103945.0,1220268000,1297.0,17266303.95,24946.8,11116.99833,11000.0,155836.0,122286981.63000001,122131145.63000001,78371.5865589466,3,0,4
Cotton(lint),2010,Kharif     ,Andhra Pradesh,1784237.0,3890277,1297.0,296379608.1,428216.88,1.980454545,52000.0,82200.0,102983.63634,20783.636339999997,25.284229124087588,4,0,1
Arecanut,2010,Whole Year ,Karnataka,211265.0,2284410,1317.7,35093229.15,50703.6,10.94818182,250000.0,244365.0,2737045.455,2492680.455,1020.0644343502548,0,12,4
Arhar/Tur,2010,Kharif     ,Karnataka,891525.0,522540,1317.7,148091217.8,213966.0,0.65037037,6200.0,71370.0,4032.2962939999998,-67337.703706,-94.3501523132969,1,12,1
Castor seed,2010,Kharif     ,Karnataka,19100.0,15991,1317.7,3172701.0,4584.0,0.865652174,5300.0,40000.0,4587.9565222,-35412.0434778,-88.5301086945,2,12,1
Coconut ,2010,Whole Year ,Karnataka,440741.0,4213360000,1317.7,73211487.51,105777.84,9678.503667,11000.0,155836.0,106463540.33700001,106307704.33700001,68217.68034151288,3,12,4
Cotton(lint),2010,Kharif     ,Karnataka,418360.0,994710,1317.7,69493779.6,100406.4,2.260909091,52000.0,82200.0,117567.272732,35367.272732,43.02587923600973,4,12,1
Cotton(lint),2010,Rabi       ,Karnataka,129125.0,155407,1317.7,21448953.75,30990.0,1.758,52000.0,82200.0,91416.0,9216.0,11.211678832116787,4,12,2
Arecanut,2010,Whole Year ,Kerala,99833.5,99909,3131.8,16583342.68,23960.04,0.827857143,250000.0,244365.0,206964.28575,-37400.71424999999,-15.305266404763362,0,13,4
Coconut ,2010,Whole Year ,Kerala,770473.13,5286561000,3131.8,127983291.6,184913.5512,6501.544286,11000.0,155836.0,71516987.146,71361151.146,45792.46845786596,3,13,4
Arecanut,2010,Whole Year ,Meghalaya,14611.0,20501,3119.7,2427033.21,3506.64,1.202857143,250000.0,244365.0,300714.28575,56349.28574999998,23.059474863421514,0,17,4
Arhar/Tur,2010,Kharif     ,Meghalaya,779.0,611,3119.7,129399.69,186.96,0.79,6200.0,71370.0,4898.0,-66472.0,-93.13717248143477,1,17,1
Castor seed,2010,Kharif     ,Meghalaya,25.0,12,3119.7,4152.75,6.0,0.626666667,5300.0,40000.0,3321.3333350999997,-36678.6666649,-91.69666666225001,2,17,1
Cotton(lint),2010,Kharif     ,Meghalaya,6816.0,5571,3119.7,1132205.76,1635.84,0.823333333,52000.0,82200.0,42813.333316,-39386.666684,-47.91565290024331,4,17,1
Arecanut,2011,Kharif     ,Puducherry,60.0,77,1434.5875,10051.2,19.8,1.28,250000.0,244365.0,320000.0,75635.0,30.95165019540442,0,21,1
Coconut ,2011,Whole Year ,Puducherry,2095.0,17313000,1434.5875,350954.4,691.35,9838.6475,11000.0,155836.0,108225122.49999999,108069286.49999999,69348.08805410816,3,21,4
Cotton(lint),2011,Summer     ,Puducherry,8.0,8,1434.5875,1340.16,2.64,1.0,52000.0,82200.0,52000.0,-30200.0,-36.73965936739659,4,21,3
Arecanut,2011,Rabi       ,Assam,68699.0,60075,1743.4,11508456.48,22670.67,0.878148148,250000.0,244365.0,219537.03699999998,-24827.963000000018,-10.160196018251394,0,2,2
Arhar/Tur,2011,Kharif     ,Assam,5697.0,4467,1743.4,954361.44,1880.01,0.774074074,6200.0,71370.0,4799.2592588,-66570.7407412,-93.27552296651255,1,2,1
Castor seed,2011,Kharif     ,Assam,1024.0,538,1743.4,171540.48,337.92,0.515833333,5300.0,40000.0,2733.9166649,-37266.083335100004,-93.16520833775,2,2,1
Coconut ,2011,Whole Year ,Assam,20710.0,175613000,1743.4,3469339.2,6834.3,7299.402593,11000.0,155836.0,80293428.523,80137592.523,51424.313074642574,3,2,4
Cotton(lint),2011,Kharif     ,Assam,1230.0,581,1743.4,206049.6,405.9,0.595652174,52000.0,82200.0,30973.913048000002,-51226.086952,-62.31884057420925,4,2,1
Arecanut,2011,Whole Year ,Andhra Pradesh,562.0,275,861.9,94146.24,185.46,0.296666667,250000.0,244365.0,74166.66675,-170198.33325,-69.64922687373397,0,0,4
Arhar/Tur,2011,Kharif     ,Andhra Pradesh,478657.0,144679,861.9,80184620.64,157956.81,0.435454545,6200.0,71370.0,2699.8181790000003,-68670.181821,-96.21715261454393,1,0,1
Arhar/Tur,2011,Rabi       ,Andhra Pradesh,2841.0,1409,861.9,475924.32,937.53,0.455294118,6200.0,71370.0,2822.8235316,-68547.1764684,-96.0448037948718,1,0,2
Castor seed,2011,Kharif     ,Andhra Pradesh,253280.0,52509,861.9,42429465.6,83582.4,0.402777778,5300.0,40000.0,2134.7222234,-37865.2777766,-94.6631944415,2,0,1
Coconut ,2011,Whole Year ,Andhra Pradesh,103967.0,1430853709,861.9,17416551.84,34309.11,12604.71833,11000.0,155836.0,138651901.63,138496065.63,88872.95979747939,3,0,4
Cotton(lint),2011,Kharif     ,Andhra Pradesh,2062999.0,3181907,861.9,345593592.5,680789.67,1.548181818,52000.0,82200.0,80505.454536,-1694.5454639999953,-2.0614908321167826,4,0,1
Arecanut,2011,Whole Year ,Karnataka,216168.0,1750573,1178.986364,36212463.36,71335.44,8.221904762,250000.0,244365.0,2055476.1904999998,1811111.1904999998,741.1499971354326,0,12,4
Arhar/Tur,2011,Kharif     ,Karnataka,767419.0,351611,1178.986364,128558030.9,253248.27,0.52,6200.0,71370.0,3224.0,-68146.0,-95.48269581056466,1,12,1
Castor seed,2011,Kharif     ,Karnataka,16282.0,13651,1178.986364,2727560.64,5373.06,0.857916667,5300.0,40000.0,4546.9583351,-35453.041664899996,-88.63260416224999,2,12,1
Coconut ,2011,Whole Year ,Karnataka,443753.0,4411600000,1178.986364,74337502.56,146438.49,9984.488333,11000.0,155836.0,109829371.66299999,109673535.66299999,70377.53514143072,3,12,4
Cotton(lint),2011,Kharif     ,Karnataka,498264.0,1151643,1178.986364,83469185.28,164427.12,2.251818182,52000.0,82200.0,117094.54546400001,34894.54546400001,42.45078523600975,4,12,1
Cotton(lint),2011,Rabi       ,Karnataka,71476.0,50923,1178.986364,11973659.52,23587.08,1.402857143,52000.0,82200.0,72948.571436,-9251.428564000002,-11.254779274939175,4,12,2
Arecanut,2011,Whole Year ,Kerala,104548.36,121623,3035.1,17513941.27,34500.9588,0.92,250000.0,244365.0,230000.0,-14365.0,-5.878501422053076,0,13,4
Coconut ,2011,Whole Year ,Kerala,820866.94,5940564000,3035.1,137511629.8,270886.0902,6884.550714,11000.0,155836.0,75730057.854,75574221.854,48495.99698015863,3,13,4
Arecanut,2011,Whole Year ,Meghalaya,15448.0,21751,4083.104545,2587848.96,5097.84,1.228571429,250000.0,244365.0,307142.85725,62777.85725,25.690200008184476,0,17,4
Arhar/Tur,2011,Kharif     ,Meghalaya,788.0,921,4083.104545,132005.76,260.04,0.96,6200.0,71370.0,5952.0,-65418.0,-91.66036149642707,1,17,1
Castor seed,2011,Kharif     ,Meghalaya,30.0,16,4083.104545,5025.6,9.9,0.66,5300.0,40000.0,3498.0,-36502.0,-91.255,2,17,1
Cotton(lint),2011,Kharif     ,Meghalaya,6871.0,6389,4083.104545,1151029.92,2267.43,0.903333333,52000.0,82200.0,46973.333316,-35226.666684,-42.85482564963504,4,17,1
Arecanut,2011,Whole Year ,Tamil Nadu,6509.0,15948,926.5,1090387.68,2147.97,2.054583333,250000.0,244365.0,513645.83325,269280.83325,110.1961546252532,0,23,4
Arhar/Tur,2011,Whole Year ,Tamil Nadu,35968.0,31292,926.5,6025359.36,11869.44,0.867037037,6200.0,71370.0,5375.6296294,-65994.3703706,-92.4679422314698,1,23,4
Castor seed,2011,Whole Year ,Tamil Nadu,6202.0,1861,926.5,1038959.04,2046.66,0.767407407,5300.0,40000.0,4067.2592571,-35932.7407429,-89.83185185725,2,23,4
Coconut ,2011,Whole Year ,Tamil Nadu,419400.0,6200900000,926.5,70257888.0,138402.0,13248.16226,11000.0,155836.0,145729784.85999998,145573948.85999998,93414.83922841962,3,23,4
Cotton(lint),2011,Kharif     ,Tamil Nadu,107036.0,302611,926.5,17930670.72,35321.88,3.036923077,52000.0,82200.0,157920.000004,75720.000004,92.11678832603405,4,23,1
Cotton(lint),2011,Rabi       ,Tamil Nadu,28769.0,79158,926.5,4819382.88,9493.77,2.83,52000.0,82200.0,147160.0,64960.0,79.02676399026764,4,23,2
Arecanut,2012,Kharif     ,Andhra Pradesh,581.0,365,968.7,87614.8,180.11,1.453333333,250000.0,244365.0,363333.33325,118968.33325000003,48.68468612526345,0,0,1
Arhar/Tur,2012,Kharif     ,Andhra Pradesh,480000.0,251000,968.7,72384000.0,148800.0,0.5885,6200.0,71370.0,3648.7000000000003,-67721.3,-94.88762785484097,1,0,1
Castor seed,2012,Kharif     ,Andhra Pradesh,208000.0,105000,968.7,31366400.0,64480.0,0.764,5300.0,40000.0,4049.2000000000003,-35950.8,-89.87700000000001,2,0,1
Coconut ,2012,Whole Year ,Andhra Pradesh,99825.0,1670659000,968.7,15053610.0,30945.75,14794.63,11000.0,155836.0,162740930.0,162585094.0,104330.89530018737,3,0,4
Cotton(lint),2012,Kharif     ,Andhra Pradesh,2402000.0,5600000,968.7,362221600.0,744620.0,2.440454545,52000.0,82200.0,126903.63634000001,44703.63634000001,54.38398581508517,4,0,1
Arecanut,2012,Rabi       ,Assam,67327.0,88999,2167.5,10152911.6,20871.37,1.557037037,250000.0,244365.0,389259.25925,144894.25925,59.294194851963255,0,2,2
Arhar/Tur,2012,Kharif     ,Assam,5958.0,4937,2167.5,898466.4,1846.98,0.81962963,6200.0,71370.0,5081.703706,-66288.296294,-92.87977622810705,1,2,1
Castor seed,2012,Kharif     ,Assam,902.0,492,2167.5,136021.6,279.62,0.5436,5300.0,40000.0,2881.08,-37118.92,-92.79729999999999,2,2,1
Coconut ,2012,Whole Year ,Assam,20233.0,136640000,2167.5,3051136.4,6272.23,6245.638519,11000.0,155836.0,68702023.709,68546187.709,43986.105719474326,3,2,4
Cotton(lint),2012,Kharif     ,Assam,1802.0,863,2167.5,271741.6,558.62,0.489583333,52000.0,82200.0,25458.333316,-56741.666683999996,-69.0287915863747,4,2,1
Arecanut,2012,Whole Year ,Karnataka,221337.0,1776427,956.2,33377619.6,68614.47,8.184,250000.0,244365.0,2045999.9999999998,1801634.9999999998,737.2721134368669,0,12,4
Arhar/Tur,2012,Kharif     ,Karnataka,659742.0,467109,956.2,99489093.6,204520.02,0.573333333,6200.0,71370.0,3554.6666646,-67815.3333354,-95.01938256326187,1,12,1
Castor seed,2012,Kharif     ,Karnataka,11462.0,7142,956.2,1728469.6,3553.22,0.658095238,5300.0,40000.0,3487.9047614,-36512.0952386,-91.2802380965,2,12,1
Coconut ,2012,Whole Year ,Karnataka,441048.0,4342441000,956.2,66510038.4,136724.88,9923.938333,11000.0,155836.0,109163321.663,109007485.663,69950.13069059781,3,12,4
Cotton(lint),2012,Kharif     ,Karnataka,446810.0,1026068,956.2,67378948.0,138511.1,2.051304348,52000.0,82200.0,106667.826096,24467.826096000004,29.766211795620446,4,12,1
Cotton(lint),2012,Rabi       ,Karnataka,48405.0,59666,956.2,7299474.0,15005.55,1.118,52000.0,82200.0,58136.00000000001,-24063.999999999993,-29.27493917274938,4,12,2
Cotton(lint),2012,Summer     ,Karnataka,1810.0,5017,956.2,272948.0,561.1,2.77375,52000.0,82200.0,144235.0,62035.0,75.4683698296837,4,12,3
Arecanut,2012,Whole Year ,Kerala,101775.0,118233,2187.6,15347670.0,31550.25,0.895714286,250000.0,244365.0,223928.57150000002,-20436.42849999998,-8.363075113048096,0,13,4
Arhar/Tur,2012,Whole Year ,Kerala,1186.0,1892,2187.6,178848.8,367.66,1.496,6200.0,71370.0,9275.2,-62094.8,-87.00406333193219,1,13,4
Coconut ,2012,Whole Year ,Kerala,798162.0,5799000000,2187.6,120362829.6,247430.22,6706.261429,11000.0,155836.0,73768875.719,73613039.719,47237.5059158346,3,13,4
Arecanut,2012,Whole Year ,Meghalaya,16062.0,23331,2945.3,2422149.6,4979.22,1.262857143,250000.0,244365.0,315714.28575,71349.28574999998,29.197833466331097,0,17,4
Arhar/Tur,2012,Kharif     ,Meghalaya,1136.0,1390,2945.3,171308.8,352.16,1.003333333,6200.0,71370.0,6220.6666646,-65149.3333354,-91.28391948353651,1,17,1
Castor seed,2012,Kharif     ,Meghalaya,60.0,45,2945.3,9048.0,18.6,0.926666667,5300.0,40000.0,4911.3333351,-35088.666664899996,-87.72166666224999,2,17,1
Cotton(lint),2012,Kharif     ,Meghalaya,7250.0,8359,2945.3,1093300.0,2247.5,1.126666667,52000.0,82200.0,58586.666684,-23613.333315999997,-28.72668286618004,4,17,1
Arecanut,2013,Kharif     ,Andhra Pradesh,476.0,255,1062.3,68777.24,128.52,1.705,250000.0,244365.0,426250.0,181885.0,74.43169029934728,0,0,1
Arhar/Tur,2013,Kharif     ,Andhra Pradesh,182826.0,102954,1062.3,26416528.74,49363.02,0.696923077,6200.0,71370.0,4320.9230774,-67049.0769226,-93.94574320106487,1,0,1
Arhar/Tur,2013,Rabi       ,Andhra Pradesh,1298.0,1003,1062.3,187548.02,350.46,0.736,6200.0,71370.0,4563.2,-66806.8,-93.60627714726076,1,0,2
Castor seed,2013,Kharif     ,Andhra Pradesh,47592.0,24827,1062.3,6876568.08,12849.84,0.737777778,5300.0,40000.0,3910.2222234,-36089.7777766,-90.2244444415,2,0,1
Castor seed,2013,Rabi       ,Andhra Pradesh,1291.0,956,1062.3,186536.59,348.57,0.74,5300.0,40000.0,3922.0,-36078.0,-90.19500000000001,2,0,2
Coconut ,2013,Whole Year ,Andhra Pradesh,99066.0,1610007000,1062.3,14314046.34,26747.82,13712.57308,11000.0,155836.0,150838303.88,150682467.88,96692.97715547113,3,0,4
Cotton(lint),2013,Kharif     ,Andhra Pradesh,671459.0,2175683,1062.3,97019110.91,181293.93,2.623846154,52000.0,82200.0,136440.000008,54240.000008,65.98540146958638,4,0,1
Cotton(lint),2013,Rabi       ,Andhra Pradesh,5155.0,12281,1062.3,744845.95,1391.85,2.531666667,52000.0,82200.0,131646.666684,49446.666683999996,60.15409572262773,4,0,2
Arecanut,2013,Rabi       ,Assam,68038.0,56999,1797.7,9830810.62,18370.26,0.80037037,250000.0,244365.0,200092.5925,-44272.4075,-18.11732756327625,0,2,2
Arhar/Tur,2013,Kharif     ,Assam,6130.0,5642,1797.7,885723.7,1655.1,0.921851852,6200.0,71370.0,5715.4814824,-65654.5185176,-91.99175916715706,1,2,1
Castor seed,2013,Kharif     ,Assam,877.0,447,1797.7,126717.73,236.79,0.623913043,5300.0,40000.0,3306.7391279,-36693.2608721,-91.73315218025,2,2,1
Coconut ,2013,Whole Year ,Assam,21141.0,146808000,1797.7,3054663.09,5708.07,6475.464074,11000.0,155836.0,71230104.81400001,71074268.81400001,45608.375993993686,3,2,4
Cotton(lint),2013,Kharif     ,Assam,1140.0,537,1797.7,164718.6,307.8,0.469166667,52000.0,82200.0,24396.666684,-57803.333316000004,-70.32035683211679,4,2,1
Arecanut,2013,Whole Year ,Goa,1740.0,2895,3642.6,251412.6,469.8,1.64,250000.0,244365.0,410000.0,165635.0,67.78180181286191,0,6,4
Coconut ,2013,Whole Year ,Goa,25750.0,128100000,3642.6,3720617.5,6952.5,4972.855,11000.0,155836.0,54701404.99999999,54545568.99999999,35001.905208039214,3,6,4
Arecanut,2013,Whole Year ,Karnataka,218007.0,2428335,1235.6,31499831.43,58861.89,10.93,250000.0,244365.0,2732500.0,2488135.0,1018.2043254966954,0,12,4
Arhar/Tur,2013,Kharif     ,Karnataka,823748.0,756566,1235.6,119023348.5,222411.96,0.672592593,6200.0,71370.0,4170.0740766,-67199.9259234,-94.15710511895755,1,12,1
Castor seed,2013,Kharif     ,Karnataka,12184.0,10900,1235.6,1760466.16,3289.68,0.906956522,5300.0,40000.0,4806.8695666,-35193.1304334,-87.9828260835,2,12,1
Coconut ,2013,Whole Year ,Karnataka,430774.0,3417792000,1235.6,62242535.26,116308.98,8039.727,11000.0,155836.0,88436997.0,88281161.0,56650.04299391668,3,12,4
Cotton(lint),2013,Kharif     ,Karnataka,584977.0,1731624,1235.6,84523326.73,157943.79,2.737083333,52000.0,82200.0,142328.333316,60128.333316000004,73.14882398540146,4,12,1
Cotton(lint),2013,Rabi       ,Karnataka,74978.0,138277,1235.6,10833571.22,20244.06,1.931818182,52000.0,82200.0,100454.545464,18254.545463999995,22.207476233576635,4,12,2
Cotton(lint),2013,Summer     ,Karnataka,2022.0,7289,1235.6,292158.78,545.94,3.655714286,52000.0,82200.0,190097.142872,107897.142872,131.26173098783454,4,12,3
Arecanut,2013,Whole Year ,Kerala,100008.0,100018,3255.4,14450155.92,27002.16,0.805,250000.0,244365.0,201250.0,-43115.0,-17.643688744296444,0,13,4
Arhar/Tur,2013,Whole Year ,Kerala,888.0,1429,3255.4,128307.12,239.76,1.512,6200.0,71370.0,9374.4,-61995.6,-86.86506935687264,1,13,4
Coconut ,2013,Whole Year ,Kerala,808647.0,5921000000,3255.4,116841405.0,218334.69,6785.354286,11000.0,155836.0,74638897.146,74483061.146,47795.79888215816,3,13,4
Arecanut,2013,Whole Year ,Meghalaya,16678.0,25114,2448.4,2409804.22,4503.06,1.331818182,250000.0,244365.0,332954.54549999995,88589.54549999995,36.2529599165183,0,17,4
Arhar/Tur,2013,Kharif     ,Meghalaya,1141.0,1425,2448.4,164863.09,308.07,1.08,6200.0,71370.0,6696.0,-64674.0,-90.61790668348046,1,17,1
Castor seed,2013,Kharif     ,Meghalaya,63.0,50,2448.4,9102.87,17.01,0.9,5300.0,40000.0,4770.0,-35230.0,-88.075,2,17,1
Cotton(lint),2013,Kharif     ,Meghalaya,7275.0,8602,2448.4,1051164.75,1964.25,1.126,52000.0,82200.0,58551.99999999999,-23648.000000000007,-28.768856447688574,4,17,1
Arecanut,2013,Whole Year ,Tamil Nadu,6695.0,8619,740.9,967360.55,1807.65,1.22,250000.0,244365.0,305000.0,60635.0,24.81329159249483,0,23,4
Arhar/Tur,2013,Whole Year ,Tamil Nadu,59643.0,57666,740.9,8617817.07,16103.61,0.955172414,6200.0,71370.0,5922.0689667999995,-65447.9310332,-91.7022993319322,1,23,4
Castor seed,2013,Kharif     ,Tamil Nadu,6377.0,1990,740.9,921412.73,1721.79,0.35,5300.0,40000.0,1854.9999999999998,-38145.0,-95.3625,2,23,1
Coconut ,2013,Whole Year ,Tamil Nadu,428538.0,4668000000,740.9,61919455.62,115705.26,9606.394516,11000.0,155836.0,105670339.676,105514503.676,67708.68327985832,3,23,4
Cotton(lint),2013,Kharif     ,Tamil Nadu,116495.0,333808,740.9,16832362.55,31453.65,2.815,52000.0,82200.0,146380.0,64180.0,78.07785888077858,4,23,1
Cotton(lint),2013,Rabi       ,Tamil Nadu,34468.0,82752,740.9,4980281.32,9306.36,2.478888889,52000.0,82200.0,128902.22222799998,46702.222227999984,56.81535550851579,4,23,2
Arecanut,2014,Kharif     ,Andhra Pradesh,483.0,338,687.6,72913.68,159.39,1.775,250000.0,244365.0,443750.0,199385.0,81.59310866940847,0,0,1
Arhar/Tur,2014,Kharif     ,Andhra Pradesh,148980.0,74560,687.6,22490020.8,49163.4,0.634615385,6200.0,71370.0,3934.6153870000003,-67435.384613,-94.4870178128065,1,0,1
Arhar/Tur,2014,Rabi       ,Andhra Pradesh,1564.0,1224,687.6,236101.44,516.12,0.727,6200.0,71370.0,4507.4,-66862.6,-93.68446125823175,1,0,2
Castor seed,2014,Kharif     ,Andhra Pradesh,46122.0,26668,687.6,6962577.12,15220.26,0.72,5300.0,40000.0,3816.0,-36184.0,-90.46,2,0,1
Castor seed,2014,Rabi       ,Andhra Pradesh,1715.0,838,687.6,258896.4,565.95,0.598333333,5300.0,40000.0,3171.1666649000003,-36828.8333351,-92.07208333774999,2,0,2
Coconut ,2014,Whole Year ,Andhra Pradesh,99097.0,1447900000,687.6,14959683.12,32702.01,12941.33667,11000.0,155836.0,142354703.37,142198867.37,91249.04859595986,3,0,4
Cotton(lint),2014,Kharif     ,Andhra Pradesh,814855.0,2735370,687.6,123010510.8,268902.15,3.026153846,52000.0,82200.0,157359.999992,75159.999992,91.43552310462286,4,0,1
Cotton(lint),2014,Rabi       ,Andhra Pradesh,6222.0,15914,687.6,939273.12,2053.26,2.897142857,52000.0,82200.0,150651.428564,68451.428564,83.27424399513383,4,0,2
Arecanut,2014,Rabi       ,Assam,66739.0,73869,1899.0,10074919.44,22023.87,1.057777778,250000.0,244365.0,264444.4445,20079.444499999983,8.21698872588136,0,2,2
Arhar/Tur,2014,Kharif     ,Assam,6047.0,5738,1899.0,912855.12,1995.51,0.944074074,6200.0,71370.0,5853.2592588,-65516.7407412,-91.79871198150484,1,2,1
Castor seed,2014,Kharif     ,Assam,941.0,556,1899.0,142053.36,310.53,0.64,5300.0,40000.0,3392.0,-36608.0,-91.52,2,2,1
Coconut ,2014,Whole Year ,Assam,20340.0,139518000,1899.0,3070526.4,6712.2,6784.791481,11000.0,155836.0,74632706.29100001,74476870.29100001,47791.82620896327,3,2,4
Cotton(lint),2014,Kharif     ,Assam,912.0,428,1899.0,137675.52,300.96,0.5344,52000.0,82200.0,27788.8,-54411.2,-66.19367396593674,4,2,1
Arecanut,2014,Whole Year ,Goa,1750.0,2895,3491.2,264180.0,577.5,1.645,250000.0,244365.0,411250.0,166885.0,68.2933316964377,0,6,4
Coconut ,2014,Whole Year ,Goa,25786.0,127800000,3491.2,3892654.56,8509.38,4955.305,11000.0,155836.0,54508355.0,54352519.0,34878.02497497369,3,6,4
Arecanut,2014,Whole Year ,Karnataka,235774.0,2181441,1238.5,35592443.04,77805.42,9.524545455,250000.0,244365.0,2381136.36375,2136771.36375,874.4179255417101,0,12,4
Arhar/Tur,2014,Kharif     ,Karnataka,728050.0,474035,1238.5,109906428.0,240256.5,0.695925926,6200.0,71370.0,4314.7407412,-67055.2592588,-93.95440557489141,1,12,1
Castor seed,2014,Kharif     ,Karnataka,11913.0,7243,1238.5,1798386.48,3931.29,0.616363636,5300.0,40000.0,3266.7272708,-36733.2727292,-91.833181823,2,12,1
Coconut ,2014,Whole Year ,Karnataka,440514.0,3931007000,1238.5,66499993.44,145369.62,9449.426667,11000.0,155836.0,103943693.337,103787857.337,66600.69389422213,3,12,4
Cotton(lint),2014,Kharif     ,Karnataka,808464.0,2205170,1238.5,122045725.4,266793.12,2.50375,52000.0,82200.0,130195.00000000001,47995.000000000015,58.38807785888079,4,12,1
Cotton(lint),2014,Rabi       ,Karnataka,65287.0,104033,1238.5,9855725.52,21544.71,1.496363636,52000.0,82200.0,77810.90907200001,-4389.0909279999905,-5.339526676399015,4,12,2
Cotton(lint),2014,Summer     ,Karnataka,2183.0,4135,1238.5,329545.68,720.39,1.8925,52000.0,82200.0,98410.0,16210.0,19.720194647201946,4,12,3
Arecanut,2014,Whole Year ,Kerala,96686.0,125926,3046.4,14595718.56,31906.38,0.973571429,250000.0,244365.0,243392.85725,-972.1427499999991,-0.3978240541812449,0,13,4
Arhar/Tur,2014,Whole Year ,Kerala,1476.0,1903,3046.4,222816.96,487.08,1.156666667,6200.0,71370.0,7171.333335400001,-64198.6666646,-89.9518938834244,1,13,4
Coconut ,2014,Whole Year ,Kerala,793856.0,5947000000,3046.4,119840501.8,261972.48,6883.315,11000.0,155836.0,75716465.0,75560629.0,48487.27444236248,3,13,4
Arecanut,2014,Whole Year ,Meghalaya,16747.0,25725,3484.4,2528127.12,5526.51,1.380909091,250000.0,244365.0,345227.27275,100862.27275,41.27525330959835,0,17,4
Arhar/Tur,2014,Kharif     ,Meghalaya,1148.0,1465,3484.4,173302.08,378.84,1.1,6200.0,71370.0,6820.000000000001,-64550.0,-90.44416421465601,1,17,1
Castor seed,2014,Kharif     ,Meghalaya,67.0,58,3484.4,10114.32,22.11,0.968,5300.0,40000.0,5130.4,-34869.6,-87.17399999999999,2,17,1
Cotton(lint),2014,Kharif     ,Meghalaya,7305.0,9024,3484.4,1102762.8,2410.65,1.186,52000.0,82200.0,61672.0,-20528.0,-24.97323600973236,4,17,1
Arecanut,2014,Whole Year ,Tamil Nadu,6732.0,8837,911.3,1016262.72,2221.56,1.561904762,250000.0,244365.0,390476.19049999997,146111.19049999997,59.79219221246904,0,23,4
Castor seed,2014,Kharif     ,Tamil Nadu,5132.0,1695,911.3,774726.72,1693.56,0.3575,5300.0,40000.0,1894.75,-38105.25,-95.263125,2,23,1
Coconut ,2014,Whole Year ,Tamil Nadu,427841.0,4986500000,911.3,64586877.36,141187.53,10713.87226,11000.0,155836.0,117852594.86,117696758.86,75526.03946456531,3,23,4
Cotton(lint),2014,Kharif     ,Tamil Nadu,138386.0,434108,911.3,20890750.56,45667.38,3.09962963,52000.0,82200.0,161180.74076,78980.74075999999,96.08362622871044,4,23,1
Cotton(lint),2014,Rabi       ,Tamil Nadu,48307.0,164831,911.3,7292424.72,15941.31,3.393214286,52000.0,82200.0,176447.142872,94247.142872,114.65589157177615,4,23,2
Arecanut,2015,Kharif     ,Andhra Pradesh,516.0,1795,940.7,81481.56,170.28,3.32,250000.0,244365.0,830000.0,585635.0,239.65584269433023,0,0,1
Arhar/Tur,2015,Kharif     ,Andhra Pradesh,215323.0,128654,940.7,34001654.93,71056.59,0.579230769,6200.0,71370.0,3591.2307678,-67778.7692322,-94.96815080874316,1,0,1
Arhar/Tur,2015,Rabi       ,Andhra Pradesh,4995.0,3472,940.7,788760.45,1648.35,0.643,6200.0,71370.0,3986.6,-67383.4,-94.41417962729437,1,0,2
Castor seed,2015,Kharif     ,Andhra Pradesh,48940.0,27592,940.7,7728115.4,16150.2,0.81125,5300.0,40000.0,4299.625,-35700.375,-89.2509375,2,0,1
Castor seed,2015,Rabi       ,Andhra Pradesh,1785.0,1226,940.7,281869.35,589.05,0.836,5300.0,40000.0,4430.8,-35569.2,-88.923,2,0,2
Coconut ,2015,Whole Year ,Andhra Pradesh,103948.0,1427745000,940.7,16414428.68,34302.84,12616.92333,11000.0,155836.0,138786156.63,138630320.63,88959.11126440616,3,0,4
Cotton(lint),2015,Kharif     ,Andhra Pradesh,662671.0,1810621,940.7,104642377.6,218681.43,2.519230769,52000.0,82200.0,130999.999988,48799.999987999996,59.36739657907542,4,0,1
Cotton(lint),2015,Rabi       ,Andhra Pradesh,3394.0,6662,940.7,535946.54,1120.02,2.23,52000.0,82200.0,115960.0,33760.0,41.0705596107056,4,0,2
Arecanut,2015,Kharif     ,Puducherry,55.0,83,1980.6,8685.05,18.15,1.51,250000.0,244365.0,377500.0,133135.0,54.48202483989114,0,21,1
