Opportunity ID,Investment Type,Sector / Industry,Location,Funding Stage,Expected ROI (%),Risk Level,Minimum Investment (USD),Time Horizon (Years),IRR / CAGR,ESG Score,Last Updated
OPP13848,Startup,AgriTech,Uttarakhand,Seed,31.67,Medium,33625.24,3,21.88,2.1,2025-01-10
OPP13854,Real Estate,AgriTech,Andhra Pradesh,,43.03,Low,3747.59,10,26.8,3.8,2025-06-10
OPP13855,Real Estate,AgriTech,Goa,,31.24,Low,31635.45,4,6.91,4.0,2024-10-28
OPP13856,Startup,AgriTech,Kerala,Series B,11.42,Low,14191.7,1,9.57,4.7,2025-04-09
OPP13859,Real Estate,AgriTech,Andhra Pradesh,,29.17,Medium,4615.2,9,16.27,8.2,2024-10-04
OPP13860,Real Estate,AgriTech,Nagaland,,18.06,Medium,5003.39,9,19.69,5.5,2025-03-17
OPP13862,Startup,AgriTech,Punjab,Public,17.02,Low,38799.52,5,9.35,1.2,2025-05-13
OPP13872,Startup,AgriTech,Uttar Pradesh,Seed,36.61,Low,42818.6,3,7.63,9.8,2025-06-11
OPP13885,Real Estate,AgriTech,Odisha,,24.78,High,9600.26,4,24.46,3.8,2025-04-02
OPP13904,Real Estate,AgriTech,Mizoram,,36.82,Low,16989.58,3,24.56,9.2,2025-01-10
OPP13910,Real Estate,AgriTech,Telangana,,21.38,Medium,7894.9,4,11.78,1.6,2025-01-23
OPP13920,Startup,AgriTech,Mizoram,Public,27.01,High,4171.04,3,25.13,9.9,2024-08-26
OPP13953,Startup,AgriTech,Telangana,Series A,16.22,Low,27338.95,5,20.39,8.5,2025-06-05
OPP13959,Real Estate,AgriTech,Rajasthan,,26.48,Medium,41890.77,5,14.63,2.3,2025-06-02
OPP13964,Startup,AgriTech,Meghalaya,Series C,7.83,Low,13809.59,2,29.49,1.6,2024-12-17
OPP13974,Real Estate,AgriTech,Jharkhand,,26.71,High,6603.25,6,21.23,6.1,2024-07-09
OPP13975,Startup,AgriTech,Andhra Pradesh,IPO,28.69,High,45493.18,2,9.08,7.4,2024-10-07
OPP14000,Real Estate,AgriTech,Gujarat,,32.4,Medium,42122.56,1,22.97,3.8,2025-05-19
OPP14010,Real Estate,AgriTech,Haryana,,11.32,Low,9925.37,6,7.73,2.5,2025-02-28
OPP14031,Startup,AgriTech,Chhattisgarh,Public,28.93,Low,16141.08,2,17.97,7.3,2025-05-12
OPP14037,Startup,AgriTech,Nagaland,Seed,31.65,Medium,9278.81,5,23.23,8.6,2024-12-25
OPP14041,Real Estate,AgriTech,Himachal Pradesh,,10.33,Low,10011.48,2,27.5,9.7,2024-07-25
OPP14078,Startup,AgriTech,Sikkim,Public,23.85,Low,29262.13,7,21.78,6.7,2024-11-26
OPP14088,Startup,AgriTech,Karnataka,Series B,9.3,Medium,43188.42,6,28.0,1.8,2024-09-20
OPP14094,Real Estate,AgriTech,Assam,,31.99,Medium,27373.94,9,26.69,7.5,2024-09-04
OPP14108,Startup,AgriTech,Maharashtra,Series C,44.09,High,16329.44,1,9.0,1.1,2025-05-14
OPP14121,Startup,AgriTech,Mizoram,IPO,19.45,Low,21271.23,8,10.12,1.2,2025-06-27
OPP14133,Startup,AgriTech,Haryana,Series A,43.01,High,25117.44,6,12.27,5.9,2025-02-18
OPP14146,Real Estate,AgriTech,Assam,,25.49,Medium,19637.13,8,15.02,7.8,2024-07-10
OPP14158,Startup,AgriTech,Punjab,Series C,43.61,Medium,10277.91,8,25.82,1.7,2024-09-09
OPP14176,Real Estate,AgriTech,Odisha,,7.63,High,13074.45,3,10.47,7.8,2024-11-15
OPP14181,Real Estate,AgriTech,Goa,,22.61,Medium,15502.28,9,25.68,2.3,2025-05-19
OPP14188,Startup,AgriTech,Nagaland,Seed,6.68,Medium,32092.65,5,28.91,9.4,2024-10-23
OPP14197,Startup,AgriTech,Odisha,Series B,20.35,High,18127.51,5,19.52,4.9,2025-05-24
OPP14251,Startup,AgriTech,Chhattisgarh,Series C,38.81,High,28875.48,8,24.67,5.2,2025-06-17
OPP14267,Real Estate,AgriTech,Chhattisgarh,,18.39,Low,35596.02,7,28.79,2.6,2025-04-07
OPP14286,Startup,AgriTech,Punjab,IPO,29.51,Medium,24395.07,6,24.37,4.1,2024-10-14
OPP14339,Real Estate,AgriTech,Karnataka,,21.36,Medium,41878.1,7,22.32,5.3,2025-05-28
OPP14345,Startup,AgriTech,Gujarat,Seed,36.01,Medium,4483.45,4,15.28,6.6,2025-03-31
OPP14372,Real Estate,AgriTech,Tripura,,39.89,High,32094.19,8,18.63,1.1,2025-06-28
OPP14374,Startup,AgriTech,Haryana,Series A,36.36,Medium,45943.63,8,27.74,3.4,2024-11-29
OPP14378,Real Estate,AgriTech,Chhattisgarh,,21.73,Low,3321.31,7,24.93,2.7,2025-02-27
OPP14380,Real Estate,AgriTech,Maharashtra,,7.67,Medium,9336.27,1,19.56,8.4,2024-09-21
OPP14409,Startup,AgriTech,Jharkhand,Seed,16.25,High,36780.11,10,20.12,3.4,2024-11-11
OPP14423,Real Estate,AgriTech,Tamil Nadu,,17.1,Low,1007.36,10,17.11,3.1,2025-03-21
OPP14444,Real Estate,AgriTech,Haryana,,37.91,Low,46542.26,4,24.84,8.2,2025-02-14
OPP14450,Startup,AgriTech,Maharashtra,Seed,41.16,Medium,48411.8,4,17.12,6.2,2024-12-10
OPP14452,Startup,AgriTech,Tamil Nadu,Series A,7.53,High,18816.96,4,28.82,7.8,2024-09-21
OPP14461,Startup,AgriTech,Bihar,Series B,18.59,Low,5949.05,7,22.73,5.7,2025-01-12
OPP14474,Startup,AgriTech,Goa,Seed,33.5,Low,32355.8,7,15.66,1.8,2024-08-01
OPP14482,Startup,AgriTech,Chhattisgarh,Series A,37.93,Low,38269.02,5,7.98,5.9,2025-05-06
OPP14512,Real Estate,AgriTech,Odisha,,24.18,Low,8990.8,10,13.45,7.6,2025-04-03
OPP14523,Startup,AgriTech,Rajasthan,IPO,43.23,High,32050.5,3,13.65,9.1,2024-08-17
OPP14536,Startup,AgriTech,Karnataka,Series C,9.51,Low,21988.42,6,15.71,2.1,2024-11-20
OPP14538,Startup,AgriTech,Punjab,Seed,20.43,Low,32802.67,10,15.14,6.2,2024-08-28
OPP14544,Startup,AgriTech,West Bengal,Series B,29.74,High,26216.66,4,15.46,9.0,2024-10-13
OPP14547,Startup,AgriTech,Odisha,Series C,25.96,Low,15451.44,10,13.38,4.4,2025-02-05
OPP14569,Startup,AgriTech,Meghalaya,Series C,22.43,Medium,5731.3,4,13.19,9.4,2024-11-19
OPP14570,Startup,AgriTech,Jharkhand,Public,28.13,High,47224.22,2,14.09,6.8,2024-12-10
OPP14605,Startup,AgriTech,Sikkim,Seed,17.41,Medium,13826.19,8,9.73,3.6,2025-02-06
OPP14619,Real Estate,AgriTech,Himachal Pradesh,,37.43,Low,29502.7,8,14.41,7.7,2025-06-15
OPP14630,Startup,AgriTech,Tripura,Series C,43.47,Low,24946.47,10,21.1,5.0,2024-12-18
OPP14631,Startup,AgriTech,Assam,Series A,23.94,Medium,44682.23,4,24.8,4.1,2024-12-08
OPP14638,Startup,AgriTech,Sikkim,Series C,26.51,Medium,44725.1,3,7.38,2.9,2024-12-16
OPP14640,Real Estate,AgriTech,West Bengal,,36.44,Low,22435.43,8,27.44,4.7,2024-11-08
OPP14681,Real Estate,AgriTech,Goa,,22.34,High,13258.95,3,8.78,6.2,2025-03-04
OPP14706,Startup,AgriTech,Punjab,Series B,6.82,Low,6028.74,1,18.48,7.8,2025-05-03
OPP14716,Real Estate,AgriTech,Uttar Pradesh,,10.98,Low,36864.18,10,11.41,3.0,2025-06-10
OPP14729,Real Estate,AgriTech,Punjab,,41.51,Low,29005.04,2,22.99,9.4,2024-08-07
OPP14740,Real Estate,AgriTech,Telangana,,32.28,Medium,13091.52,3,21.41,3.7,2024-11-17
OPP14769,Startup,AgriTech,Tamil Nadu,Public,21.3,High,43117.85,3,17.49,2.8,2025-02-02
OPP14792,Real Estate,AgriTech,Nagaland,,23.11,Medium,20203.04,6,21.96,8.1,2025-05-14
OPP14806,Real Estate,AgriTech,Assam,,33.49,Low,45806.83,8,19.77,2.4,2025-06-08
OPP14821,Real Estate,AgriTech,Jharkhand,,18.2,High,30277.76,9,9.74,9.8,2024-09-01
OPP14824,Startup,AgriTech,Haryana,Public,42.46,Low,13370.18,10,16.8,1.4,2025-05-13
OPP14858,Startup,AgriTech,Gujarat,Seed,42.11,Medium,14301.75,10,11.95,1.4,2025-03-19
OPP14869,Real Estate,AgriTech,Maharashtra,,13.24,Low,24070.97,6,6.1,9.1,2025-03-06
OPP14875,Real Estate,AgriTech,Nagaland,,22.07,Low,38121.3,3,5.62,9.8,2024-11-14
OPP14879,Real Estate,AgriTech,Bihar,,8.86,Medium,43327.06,4,28.39,3.6,2025-05-03
OPP14881,Real Estate,AgriTech,Meghalaya,,12.06,Medium,8811.49,7,25.29,9.9,2025-01-15
OPP14908,Real Estate,AgriTech,Karnataka,,28.6,Low,17368.08,7,14.35,7.3,2025-02-25
OPP14914,Startup,AgriTech,Rajasthan,Series C,7.35,Medium,3606.65,4,24.85,4.0,2024-10-21
OPP14976,Startup,AgriTech,Andhra Pradesh,Series B,40.59,High,2246.58,7,26.49,1.5,2025-05-07
OPP14979,Real Estate,AgriTech,Sikkim,,20.98,High,37841.7,5,23.18,2.5,2024-08-22
OPP15005,Real Estate,AgriTech,Tripura,,41.75,High,1695.18,6,15.11,5.0,2024-11-24
OPP15007,Startup,AgriTech,Telangana,IPO,43.53,Medium,43614.42,2,25.75,4.7,2024-11-16
OPP15062,Startup,AgriTech,Sikkim,Series C,25.41,High,9184.91,1,5.8,8.4,2025-02-20
OPP15073,Real Estate,AgriTech,Odisha,,40.71,Medium,26228.9,9,24.83,3.6,2025-02-28
OPP15084,Startup,AgriTech,Uttar Pradesh,IPO,5.53,High,6859.07,1,30.0,6.8,2024-12-31
OPP15105,Startup,AgriTech,Meghalaya,Series B,39.88,High,15427.12,1,23.4,7.0,2025-02-27
OPP15123,Real Estate,AgriTech,Punjab,,12.06,High,35063.89,1,24.87,7.6,2024-11-04
OPP15127,Startup,AgriTech,Andhra Pradesh,IPO,20.57,High,5383.47,3,13.45,4.7,2025-03-02
OPP15128,Real Estate,AgriTech,West Bengal,,35.7,High,4487.91,4,9.53,9.3,2024-07-12
OPP15141,Startup,AgriTech,Haryana,Seed,37.18,High,16401.99,8,26.92,5.9,2024-09-12
OPP15162,Startup,AgriTech,Karnataka,Series B,20.23,High,31693.78,10,17.54,9.1,2025-01-14
OPP15169,Real Estate,AgriTech,Sikkim,,22.75,Low,14166.95,3,22.81,4.8,2025-03-23
OPP15172,Startup,AgriTech,Haryana,Series C,5.12,Low,36009.8,4,6.36,6.1,2025-06-05
OPP15177,Startup,AgriTech,Andhra Pradesh,Seed,9.31,High,32127.03,6,10.53,8.0,2025-05-07
OPP15186,Real Estate,AgriTech,Punjab,,31.3,Low,35068.91,10,16.79,5.8,2025-05-21
OPP15187,Real Estate,AgriTech,Tripura,,7.49,High,4867.45,1,17.31,8.1,2024-12-27
OPP15193,Startup,AgriTech,Arunachal Pradesh,Public,35.43,Medium,28009.29,2,6.7,3.6,2024-12-01
OPP15203,Real Estate,AgriTech,Nagaland,,13.35,Low,27133.74,3,29.58,8.7,2024-08-14
OPP15210,Real Estate,AgriTech,Nagaland,,32.32,High,27106.17,10,18.91,2.7,2025-02-17
OPP15231,Real Estate,AgriTech,Uttarakhand,,9.08,Medium,5575.06,2,24.81,3.1,2025-02-06
OPP15251,Startup,AgriTech,Maharashtra,Public,25.68,Medium,38838.23,4,11.14,3.1,2024-11-15
OPP15252,Real Estate,AgriTech,Chhattisgarh,,12.56,Low,29893.72,8,22.71,2.6,2024-10-28
OPP15275,Startup,AgriTech,Haryana,Series C,8.97,High,44459.0,9,26.98,4.4,2025-03-25
OPP15281,Startup,AgriTech,Maharashtra,Series A,7.33,Low,23346.35,1,12.24,6.4,2025-03-08
OPP15293,Startup,AgriTech,Uttar Pradesh,Seed,35.01,Medium,17733.85,5,13.85,9.1,2024-11-21
OPP15301,Real Estate,AgriTech,West Bengal,,28.0,Low,47831.71,6,19.94,8.1,2024-08-28
OPP15360,Real Estate,AgriTech,Haryana,,30.65,High,20401.81,6,18.67,5.3,2024-11-23
OPP15361,Startup,AgriTech,Telangana,IPO,15.89,High,24971.74,1,22.74,1.2,2024-10-12
OPP15377,Real Estate,AgriTech,Madhya Pradesh,,10.73,Low,25615.03,2,20.38,6.3,2025-06-04
OPP15378,Real Estate,AgriTech,West Bengal,,14.73,Low,49889.93,10,28.33,1.4,2025-04-17
OPP15382,Real Estate,AgriTech,Kerala,,18.74,High,20847.06,2,23.86,2.5,2024-12-12
OPP15391,Startup,AgriTech,Tripura,Series B,15.25,Low,47867.35,5,17.85,7.2,2024-10-06
OPP15410,Startup,AgriTech,Madhya Pradesh,IPO,31.24,Medium,31109.62,9,7.41,8.8,2024-09-25
OPP15414,Startup,AgriTech,Bihar,Series C,16.67,Medium,29954.22,2,8.71,3.8,2025-05-11
OPP15432,Startup,AgriTech,Odisha,IPO,32.22,Medium,28713.98,3,10.64,9.2,2025-01-27
OPP15466,Real Estate,AgriTech,Andhra Pradesh,,25.08,High,40603.53,1,14.02,7.0,2024-08-28
OPP15475,Real Estate,AgriTech,Mizoram,,29.35,Low,8697.73,3,24.36,9.5,2025-05-12
OPP15531,Real Estate,AgriTech,Rajasthan,,27.73,Medium,37793.42,8,7.32,3.2,2024-11-02
OPP15572,Startup,AgriTech,Tripura,Seed,28.79,Low,7786.42,7,18.77,7.7,2025-01-21
OPP15606,Real Estate,AgriTech,Manipur,,15.87,Low,28079.86,8,9.89,8.2,2024-07-17
OPP15637,Real Estate,AgriTech,Madhya Pradesh,,34.14,High,15982.39,8,9.25,8.1,2024-07-11
OPP15640,Real Estate,AgriTech,Kerala,,10.65,High,43051.56,3,6.68,3.4,2025-05-12
OPP15660,Startup,AgriTech,Uttarakhand,Public,16.13,Medium,25864.12,9,8.32,4.8,2025-06-18
OPP15688,Real Estate,AgriTech,Meghalaya,,26.32,Medium,12974.95,3,11.99,4.6,2024-07-03
OPP15717,Real Estate,AgriTech,Kerala,,37.08,Medium,18763.89,4,12.26,2.2,2024-11-06
OPP15772,Startup,AgriTech,Rajasthan,Series A,29.68,Low,28555.08,10,10.3,1.5,2025-04-07
OPP15874,Real Estate,AgriTech,Andhra Pradesh,,42.3,Medium,46722.2,1,25.62,5.0,2025-03-15
OPP15883,Startup,AgriTech,Arunachal Pradesh,Seed,8.15,High,21984.24,5,6.49,7.7,2024-08-07
OPP15899,Real Estate,AgriTech,Gujarat,,36.1,Low,11682.45,8,16.85,3.9,2024-09-20
OPP15911,Real Estate,AgriTech,Meghalaya,,38.64,Low,44453.44,9,20.74,2.9,2025-06-02
OPP15915,Startup,AgriTech,Arunachal Pradesh,Series A,30.84,Low,8348.21,8,21.03,5.1,2025-02-18
OPP15942,Startup,AgriTech,Gujarat,Public,43.18,Low,13872.27,3,18.55,9.6,2024-11-19
OPP15943,Startup,AgriTech,Chhattisgarh,Public,36.63,Low,15412.04,9,21.83,4.0,2024-11-20
OPP15952,Startup,AgriTech,Uttarakhand,Series B,44.35,High,13367.55,4,27.48,5.8,2025-06-27
OPP15971,Startup,AgriTech,Rajasthan,IPO,35.28,High,3494.27,2,13.65,9.0,2024-11-28
OPP15987,Real Estate,AgriTech,Arunachal Pradesh,,15.28,Low,48282.82,7,12.27,9.0,2024-12-30
OPP15990,Startup,AgriTech,Goa,Public,7.31,Low,24955.49,6,11.46,7.0,2025-02-16
OPP16000,Startup,AgriTech,Punjab,Series C,43.27,High,39499.65,3,22.98,6.6,2024-10-19
OPP16023,Startup,AgriTech,Himachal Pradesh,Series C,41.55,Medium,5090.7,1,16.74,3.0,2025-01-24
OPP16041,Startup,AgriTech,Madhya Pradesh,Series C,27.25,Low,12987.1,3,6.45,2.9,2025-05-09
OPP16044,Real Estate,AgriTech,Himachal Pradesh,,31.21,Low,14105.87,6,8.76,2.7,2024-08-12
OPP16046,Real Estate,AgriTech,Kerala,,29.34,High,44681.01,4,18.96,3.8,2025-03-09
OPP16068,Real Estate,AgriTech,Tripura,,11.03,Low,38637.17,3,12.08,4.2,2024-11-27
OPP16077,Real Estate,AgriTech,Manipur,,10.04,Medium,28763.03,5,27.25,1.1,2025-01-17
OPP16083,Real Estate,AgriTech,Telangana,,21.34,High,11105.38,7,14.28,9.8,2025-02-19
OPP16086,Real Estate,AgriTech,Kerala,,9.01,Low,46891.44,1,21.85,5.5,2025-06-15
OPP16110,Startup,AgriTech,Odisha,Series B,19.49,Low,30401.69,3,29.85,8.8,2025-06-06
OPP16147,Startup,AgriTech,Odisha,Public,10.31,Low,5369.46,4,6.47,4.4,2025-05-21
OPP16165,Real Estate,AgriTech,Uttarakhand,,32.39,Medium,4812.56,2,12.49,4.4,2024-08-03
OPP16167,Real Estate,AgriTech,Karnataka,,31.92,Medium,17772.13,3,29.34,5.9,2024-12-16
OPP16191,Startup,AgriTech,Telangana,Series A,24.04,High,34183.96,1,28.57,2.4,2025-01-22
OPP16205,Real Estate,AgriTech,Karnataka,,32.95,Medium,16622.98,7,5.88,7.9,2024-10-14
OPP16206,Real Estate,AgriTech,Himachal Pradesh,,42.76,Low,14419.93,3,13.12,6.6,2024-08-20
OPP16218,Real Estate,AgriTech,Maharashtra,,35.39,Medium,44051.46,6,16.9,5.4,2025-03-17
OPP16224,Startup,AgriTech,Kerala,IPO,18.83,Low,19572.43,10,24.04,3.8,2025-02-18
OPP16225,Startup,AgriTech,Goa,Seed,9.28,Low,24330.71,9,24.73,2.6,2025-05-26
OPP16228,Real Estate,AgriTech,Karnataka,,10.71,Medium,37492.57,10,8.23,8.5,2025-01-10
OPP16231,Real Estate,AgriTech,Andhra Pradesh,,34.79,Low,48154.07,2,11.33,4.5,2024-09-11
OPP16242,Startup,AgriTech,Telangana,Series C,27.59,Medium,34778.43,3,7.28,8.5,2025-02-17
OPP16268,Startup,AgriTech,Manipur,Series A,21.79,Medium,33914.98,10,27.69,6.0,2025-05-02
OPP16270,Real Estate,AgriTech,Haryana,,18.3,Low,36506.59,1,21.51,6.6,2024-10-01
OPP16276,Startup,AgriTech,Telangana,IPO,26.29,Low,43267.01,2,23.32,2.6,2025-02-05
OPP16282,Real Estate,AgriTech,Assam,,22.58,High,35803.88,7,21.57,4.6,2025-03-17
OPP16291,Real Estate,AgriTech,Haryana,,42.33,Low,35377.91,3,6.1,6.0,2024-07-25
OPP16292,Real Estate,AgriTech,Tripura,,33.42,High,27099.83,1,9.27,1.0,2025-04-29
OPP16295,Real Estate,AgriTech,Meghalaya,,39.53,Low,12322.37,3,9.41,2.2,2025-03-07
OPP16300,Real Estate,AgriTech,Himachal Pradesh,,11.36,High,44172.89,5,17.15,7.2,2024-12-23
OPP16304,Startup,AgriTech,Gujarat,IPO,32.25,High,39032.59,4,26.07,5.9,2024-07-19
OPP16331,Real Estate,AgriTech,Manipur,,15.75,High,44777.41,8,10.51,5.5,2025-06-20
OPP16372,Startup,AgriTech,Madhya Pradesh,IPO,15.09,Low,46739.08,8,14.08,9.2,2025-02-23
OPP16388,Real Estate,AgriTech,Chhattisgarh,,22.51,Medium,8057.46,1,27.14,5.8,2024-07-27
OPP16405,Real Estate,AgriTech,Himachal Pradesh,,26.43,Medium,16382.1,5,8.7,4.9,2024-11-07
OPP16415,Real Estate,AgriTech,West Bengal,,27.59,Low,31573.75,9,25.98,9.8,2024-07-18
OPP16453,Startup,AgriTech,Kerala,Seed,23.36,Medium,41930.27,2,22.92,4.2,2025-03-08
OPP16456,Real Estate,AgriTech,Rajasthan,,43.05,High,3415.01,9,19.75,5.8,2025-04-24
OPP16457,Real Estate,AgriTech,Kerala,,38.1,Medium,16349.67,7,10.15,5.6,2025-01-04
OPP16463,Startup,AgriTech,Himachal Pradesh,Seed,11.2,Medium,5526.58,1,22.83,5.5,2025-05-01
OPP16476,Startup,AgriTech,Goa,Seed,6.99,Low,46354.75,4,19.57,10.0,2024-11-10
OPP16487,Startup,AgriTech,Gujarat,Public,34.74,Medium,42168.46,10,6.15,4.1,2025-01-26
OPP16488,Startup,AgriTech,Uttarakhand,Seed,38.47,Medium,33978.47,3,9.58,1.3,2024-09-20
OPP16502,Startup,AgriTech,Nagaland,Series B,26.2,High,27682.83,2,11.96,2.4,2025-05-30
OPP16507,Startup,AgriTech,Nagaland,Series C,27.24,Medium,9516.77,9,25.45,4.8,2024-10-19
OPP16509,Startup,AgriTech,Meghalaya,IPO,7.34,Low,5464.37,3,14.39,1.6,2025-05-07
OPP16511,Real Estate,AgriTech,Telangana,,20.49,High,1618.33,5,11.58,2.0,2025-03-15
OPP16521,Startup,AgriTech,West Bengal,Series B,38.89,High,11000.77,7,16.12,2.8,2024-09-05
OPP16547,Real Estate,AgriTech,Telangana,,31.8,Low,36631.63,6,20.86,8.0,2025-03-26
OPP16561,Startup,AgriTech,Meghalaya,Series B,5.93,Low,47991.41,9,19.87,6.0,2025-05-11
OPP16567,Real Estate,AgriTech,Chhattisgarh,,9.53,Low,2021.0,1,8.76,3.7,2024-07-20
OPP16578,Startup,AgriTech,Arunachal Pradesh,Series B,36.19,Low,34097.77,9,9.43,1.4,2025-04-14
OPP16583,Real Estate,AgriTech,Tripura,,21.72,Medium,7492.07,1,25.89,8.3,2025-01-29
OPP16597,Real Estate,AgriTech,Karnataka,,32.35,Low,23632.39,9,13.95,7.5,2024-07-26
OPP16619,Real Estate,AgriTech,Manipur,,41.55,Low,25752.74,3,7.6,6.6,2024-09-24
OPP16623,Real Estate,AgriTech,Meghalaya,,32.49,Low,48231.74,3,17.76,7.2,2025-05-31
OPP16645,Startup,AgriTech,West Bengal,Series B,32.02,Low,32928.3,8,26.98,9.1,2024-12-14
OPP16666,Startup,AgriTech,Maharashtra,Seed,31.88,High,36168.4,10,6.79,9.5,2025-05-28
OPP16688,Real Estate,AgriTech,Manipur,,17.59,High,21001.17,3,18.03,4.5,2025-06-05
OPP16700,Startup,AgriTech,Karnataka,Series B,42.18,Medium,24272.02,5,24.22,7.0,2025-04-27
OPP16707,Real Estate,AgriTech,Himachal Pradesh,,17.33,Medium,27882.67,6,22.05,5.3,2025-05-08
OPP16717,Real Estate,AgriTech,Kerala,,15.66,Low,5640.83,9,28.11,4.0,2024-08-13
OPP16721,Real Estate,AgriTech,Mizoram,,33.72,High,45226.16,3,14.56,8.5,2025-01-06
OPP16722,Startup,AgriTech,Haryana,Series A,43.32,Medium,43772.62,4,28.66,3.6,2025-01-19
OPP16767,Startup,AgriTech,Haryana,Series A,42.97,High,24303.68,6,16.24,5.9,2024-10-28
OPP16782,Startup,AgriTech,Manipur,Public,13.64,Low,30951.51,8,23.97,1.3,2025-02-13
OPP16825,Startup,AgriTech,Sikkim,Series C,38.4,Low,49452.54,3,24.65,2.3,2025-05-10
OPP16859,Real Estate,AgriTech,Gujarat,,42.17,Medium,26097.86,5,7.91,9.3,2025-06-10
OPP16900,Real Estate,AgriTech,Uttar Pradesh,,26.16,Low,9842.01,2,26.4,1.8,2025-04-07
OPP16936,Startup,AgriTech,Haryana,Series C,43.66,Low,25553.23,1,28.6,7.0,2025-01-26
OPP16960,Real Estate,AgriTech,Tamil Nadu,,34.42,Low,30858.47,9,28.08,4.3,2025-04-07
OPP16976,Real Estate,AgriTech,Punjab,,31.02,Low,13838.23,9,27.27,5.1,2024-09-13
OPP16990,Real Estate,AgriTech,Uttarakhand,,7.84,Medium,36463.31,10,25.48,7.3,2025-03-13
OPP17016,Startup,AgriTech,Himachal Pradesh,Series B,22.82,High,26736.5,4,22.72,8.9,2024-11-21
OPP17028,Real Estate,AgriTech,Karnataka,,19.74,Medium,20693.64,9,5.93,7.3,2025-05-24
OPP17031,Startup,AgriTech,Manipur,Series C,10.18,Medium,43211.78,4,13.13,2.3,2025-03-09
OPP17068,Real Estate,AgriTech,Mizoram,,37.84,High,45954.6,6,29.95,6.4,2025-03-15
OPP17119,Real Estate,AgriTech,Andhra Pradesh,,24.5,Low,18530.54,10,27.88,4.1,2024-08-07
OPP17120,Real Estate,AgriTech,Karnataka,,27.93,Medium,27259.71,4,9.59,5.7,2025-01-25
OPP17134,Real Estate,AgriTech,Uttarakhand,,41.19,Medium,23882.65,8,16.75,7.2,2024-09-11
OPP17153,Startup,AgriTech,Andhra Pradesh,Series B,12.34,High,31274.01,3,28.49,1.5,2025-01-02
OPP17161,Startup,AgriTech,Rajasthan,Series C,6.29,High,28711.37,9,17.33,2.6,2024-08-28
OPP17171,Startup,AgriTech,Karnataka,Series B,34.02,Medium,7773.74,4,5.11,10.0,2025-02-19
OPP17182,Startup,AgriTech,Jharkhand,Series C,36.56,High,44220.86,10,12.07,1.9,2025-05-31
OPP17197,Real Estate,AgriTech,Assam,,28.5,Low,2106.96,3,11.37,7.3,2024-12-05
OPP17200,Startup,AgriTech,Gujarat,Seed,21.51,Low,37710.52,7,26.07,2.4,2025-06-18
OPP17205,Real Estate,AgriTech,Andhra Pradesh,,29.28,Low,21028.21,4,27.4,5.8,2024-11-25
OPP17230,Startup,AgriTech,Rajasthan,Public,10.55,Low,45674.6,1,5.94,4.6,2025-05-08
OPP17236,Startup,AgriTech,Uttar Pradesh,Series B,36.24,High,25453.26,8,21.05,4.0,2025-02-04
OPP17252,Real Estate,AgriTech,Himachal Pradesh,,39.22,Medium,47539.67,7,20.85,4.5,2024-12-09
OPP17284,Real Estate,AgriTech,Punjab,,20.02,High,9261.88,4,23.45,3.9,2024-08-15
OPP17286,Startup,AgriTech,Kerala,Public,12.53,Low,26383.76,2,29.52,6.5,2024-10-03
OPP17287,Real Estate,AgriTech,Tripura,,6.05,Low,16890.97,1,12.26,6.2,2025-03-29
OPP17290,Startup,AgriTech,Gujarat,Series C,13.72,Medium,28301.67,7,11.9,8.6,2025-05-17
OPP17299,Real Estate,AgriTech,Maharashtra,,35.12,High,9539.57,4,12.13,2.6,2024-08-06
OPP17311,Real Estate,AgriTech,Rajasthan,,25.15,Medium,7175.97,7,14.39,1.3,2024-10-09
OPP17321,Real Estate,AgriTech,Uttarakhand,,35.83,Medium,10103.99,10,29.63,1.7,2025-04-23
OPP17342,Startup,AgriTech,Uttar Pradesh,Series B,10.28,High,24787.41,4,26.95,4.8,2025-03-03
OPP17352,Real Estate,AgriTech,Sikkim,,10.5,Medium,14612.53,4,21.69,5.7,2024-07-25
OPP17360,Real Estate,AgriTech,Tripura,,26.21,High,47986.97,7,19.2,2.7,2025-02-19
OPP17367,Real Estate,AgriTech,Maharashtra,,39.32,Low,35797.2,5,17.29,8.5,2025-01-05
OPP17369,Real Estate,AgriTech,Mizoram,,43.65,Low,37705.35,8,29.27,7.3,2024-12-13
OPP17400,Real Estate,AgriTech,Punjab,,25.28,Medium,34038.25,6,18.2,8.2,2025-06-23
OPP17402,Startup,AgriTech,Uttar Pradesh,Public,17.44,High,30767.95,8,13.27,4.0,2024-12-09
OPP17414,Real Estate,AgriTech,Himachal Pradesh,,8.39,Low,1551.77,4,8.83,7.4,2024-10-02
OPP17416,Real Estate,AgriTech,Gujarat,,33.22,High,34283.77,4,16.04,8.9,2024-08-20
OPP17422,Real Estate,AgriTech,Assam,,36.01,Low,31861.77,6,9.73,8.5,2025-06-03
OPP17449,Real Estate,AgriTech,Maharashtra,,16.82,Medium,12244.46,9,8.51,9.1,2024-09-17
OPP17478,Real Estate,AgriTech,Telangana,,16.66,Medium,38198.36,5,19.36,4.9,2025-01-06
OPP17504,Real Estate,AgriTech,Jharkhand,,17.71,Low,20949.58,1,5.7,8.9,2025-01-04
OPP17508,Startup,AgriTech,Andhra Pradesh,Public,12.52,High,10727.18,6,16.89,5.5,2025-03-23
